time,Z,N,E
234.8,170871.63535815402,739053.9198444871,449675.44959093916
235.0,120994.053382189,713407.8652877664,495841.45653509727
235.2,109176.73584571501,596285.8198293939,555160.9738027444
235.4,21575.02823677874,440105.07129777793,562969.1320990571
235.6,-39011.43243065146,289402.79075358645,568626.6374574194
235.8,-56406.619965841885,193963.308600511,570814.0008221136
236.0,-6636.2580694175,-6761.561071067434,552462.2129514064
236.2,89069.56587382732,-219427.96073301657,475073.16940101294
236.4,146286.95965645585,-429983.43248157756,361800.8572684824
236.6,241849.9296627767,-693048.0331545266,200126.6261443252
236.8,210921.27303438564,-800743.6472950384,26751.52640361817
237.0,86978.61985013852,-863978.3871401907,-105661.04251468499
237.2,-69176.5204979638,-791036.3540064937,-214619.16269093315
237.4,-197275.97170214658,-541810.3935320241,-323040.45922987047
237.6,-239552.84429820153,-389400.9060725237,-415959.7909163766
237.8,-316508.6622890705,-160657.45343937445,-520363.4850815499
238.0,-420942.0760947977,97629.14410838614,-542569.0729582052
238.2,-412878.11421411554,263679.02168117394,-591515.3183369874
238.4,-301662.7089784891,412621.606300846,-597857.8199572216
238.6,-260654.72133632057,568411.4960271306,-558343.0339922677
238.8,-164190.779200941,605346.7310348033,-479492.44912705896
239.0,-83055.6205281883,647408.7578171184,-388227.8018996555
239.2,-83188.68663540501,616508.7096972778,-306324.3196644386
239.4,-207912.98924776484,591267.2252981949,-213695.17491095673
239.6,-341025.6746251355,594422.7464516207,-110220.63039042706
239.8,-463343.77927189117,628691.1965162066,-48483.2999895898
240.0,-538225.857281244,575039.5687741012,-30699.72670362135
240.2,-450626.60356882494,500082.90216208977,-56897.26690404204
240.4,-336326.8574909944,362593.838204729,-60667.91842691033
240.6,-252168.17569375373,195418.30708828822,-52977.755366926125
240.8,-190846.08381067123,2500.021240477413,14231.808435928639
241.0,-94252.43089445386,-200832.59874030345,72919.55133286954
241.2,113002.58734508061,-392050.2506760623,113312.93086741735
241.4,262214.62937464006,-516469.00309075386,172394.70913817687
241.6,455323.7716979511,-599749.3217559976,265671.91402035864
241.8,624236.391444084,-653383.1832618436,321126.29849738855
242.0,899773.2440792596,-688409.5307798532,352044.87112171465
242.2,1183759.6232134341,-618226.4346450266,357634.27756937133
242.4,1311939.3805513943,-429525.14761436364,372980.9382828458
242.6,1297885.8701466052,-180043.6773774198,367649.74291884026
242.8,1255517.346028725,47888.189606298816,369231.9765531185
243.0,1046830.2983767986,341832.6801967512,360215.95111187326
243.2,799301.914181194,464641.9340392959,366974.2555730317
243.4,567332.8923282326,516232.2297848988,348796.79602050723
243.6,315695.18023579294,537258.9593705236,325670.81307487725
243.8,-17783.26947134442,521691.26462186157,302407.6765868491
244.0,-235036.84274226043,518259.2611576368,273128.6396420529
244.2,-444281.19696079154,545985.6136577167,222621.21663518698
244.4,-679586.2403429354,508231.21654516505,168649.920201265
244.6,-932981.8257826118,483246.0887675759,75785.1101860396
244.8,-1077784.2307249682,410401.9503004256,-16192.556771960011
245.0,-1233231.9688929636,271181.4434533063,-113017.17090494344
245.2,-1321635.1849818765,44484.91728969023,-161198.06921992268
245.4,-1242475.1348268904,-251418.8634181816,-193221.3835139948
245.6,-1105978.3469491908,-543136.8832432013,-229635.7791547315
245.8,-940000.1615448506,-792617.5424497699,-295855.44179446006
246.0,-653309.9204456637,-1066899.0323101105,-353284.15955726133
246.2,-317756.4022546751,-1286012.1561740113,-384984.5476997398
246.4,-3060.7830329770063,-1408334.1137362297,-411925.4860493294
246.6,262901.29292059765,-1428782.6919443472,-480199.1623773773
246.8,379182.06523217086,-1339942.9111714691,-536324.3208556419
247.0,379532.3855100882,-1087214.4981658112,-562697.4072796897
247.2,401120.8004018253,-905909.0606656271,-533662.6323663533
247.4,417695.4789477122,-750367.679271326,-436302.6481154692
247.6,362832.5020967948,-464760.71023470134,-258618.3785415377
247.8,253727.32750928056,-123840.11314772228,-67566.42079500217
248.0,149370.46865687953,155916.08981774095,98706.49044404521
248.2,126546.56963477391,370779.5564698239,182429.48590265165
248.4,108619.62001748983,583448.9286304403,194639.8160429682
248.6,147791.13991154882,750639.2194580171,170065.20453178577
248.8,103710.46908624488,853119.7881000332,132365.5842459005
249.0,79419.73090932623,1001533.2287358181,87633.05028611759
249.2,64226.796996657205,1076771.8930851002,82059.42198083339
249.4,-26709.957538410472,1099249.0232697183,118331.45723481667
249.6,-20246.758176132527,1113339.220092556,203593.70262746167
249.8,-39283.99225413791,1172921.6377847437,248890.77340091835
250.0,-60837.127119483855,1109482.060862533,267250.3118311362
250.2,-85043.83451835292,970497.5313792343,268821.2518944901
250.4,-93168.46891287419,739032.9908850623,266183.72523488913
250.6,45807.68845447854,508042.89007799537,238083.784807522
250.8,76107.3099285474,286301.19424916623,230058.96386900113
251.0,42255.59003955796,159077.82252478876,200017.57777367634
251.2,79463.20272473525,-3383.765388379479,159850.95349063
251.4,200837.958036681,-115497.7455698928,100468.02017700841
251.6,219189.05598428345,-225625.17798003493,57072.441442524
251.8,266532.15835812176,-328581.913533419,260.21074585094885
252.0,329498.71989824495,-406574.7174342456,-79780.15724164936
252.2,319406.07887409994,-416588.97720707115,-130075.75682360795
252.4,240622.47359047178,-398787.58424519724,-167985.22397288147
252.6,195088.1041653016,-387169.45086135133,-184578.62155026852
252.8,211827.91224313853,-457609.5092112869,-195683.91624959474
253.0,176771.52089956528,-445238.5812059807,-182803.06074956123
253.2,79700.2456066341,-429252.2411335357,-155593.4436828692
253.4,-31541.449978855966,-431976.4742856563,-116590.49210645564
253.6,-25390.12989621091,-418323.15087537124,-64347.774265734624
253.8,-48686.07328640512,-238150.35313175127,18766.593320990338
254.0,-270541.98658466554,-40403.82443976986,133567.83812861232
254.2,-474724.2830614723,92724.20956814414,204476.9960395816
254.4,-671475.0551719284,138142.25806455608,214362.50959844235
254.6,-803600.7184879339,240153.68936885055,233952.9414689009
254.8,-878569.3713136005,308668.97843455797,233763.8029998649
255.0,-800682.5843147469,259825.81070183267,218922.29317966982
255.2,-632591.0294968832,78896.43099151408,140503.94930481492
255.4,-397291.23187670636,-112771.96743293274,55965.04447030679
255.6,-174127.43245428448,-265577.21827351075,-11401.28341557297
255.8,61826.728486333835,-396580.9176313975,-131603.44093337315
256.0,322451.15211842064,-574111.3092194558,-217022.01307211965
256.2,609824.9089687249,-621283.6765055908,-286122.677611901
256.4,842026.7039265893,-542941.316456253,-314162.64369627804
256.6,1006617.0003740129,-420695.6671338373,-327250.9771815003
256.8,1179118.3645775386,-371580.54343992,-336933.4008026669
257.0,1173267.0617567496,-342947.22104961606,-263724.1067596611
257.2,1025395.0987162958,-307226.7498118797,-223711.69745283457
257.4,863458.9467691602,-243131.55665383083,-224200.72278070456
257.6,636622.9607031828,-173432.21997651394,-164993.3055863302
257.8,443200.81789464003,-67657.15518501223,-121946.69918375571
